std::set Insert
Operations	Seconds	Comparisons
262144	0.08	0
524288	0.14	0
1048576	0.33	0
2097152	0.81	0
4194304	1.76	0
8388608	4.07	0
16777216	8.97	0

VEB Remove
Operations	Seconds	Comparisons
262144	0.02	7372172
524288	0.03	14744396
1048576	0.06	29488859
2097152	0.13	58977788
4194304	0.26	117955643
8388608	0.52	235911361
16777216	1.03	471822794

bitsmart Remove
Operations	Seconds	Comparisons
262144	0.01	4734885
524288	0.02	9469803
1048576	0.04	18939635
2097152	0.08	37879299
4194304	0.16	75758627
8388608	0.3	151517283
16777216	0.59	303034595

std::set Remove
Operations	Seconds	Comparisons
262144	0.03	0
524288	0.06	0
1048576	0.14	0
2097152	0.34	0
4194304	0.76	0
8388608	1.65	0
16777216	3.57	0

VEB Predecessor
Operations	Seconds	Comparisons
4294743906
262144	0.01	6546025
4294487210
524288	0.02	13075847
825076
1048576	0.06	26154079
4294725769
2097152	0.1	52299653
4292626348
4194304	0.2	104617290
4294015992
8388608	0.4	209187660
8437861
16777216	0.81	418373223

bitsmart Predecessor
Operations	Seconds	Comparisons
4294743906
262144	0.01	3856983
4294487210
524288	0.01	7709550
825076
1048576	0.02	15420440
4294725769
2097152	0.05	30836034
4292626348
4194304	0.1	61674409
4294015992
8388608	0.2	123340153
8437861
16777216	0.4	246678184

std::set Predecessor
Operations	Seconds	Comparisons
4294743906
262144	0.02	0
4294487210
524288	0.03	0
825076
1048576	0.07	0
4294725769
2097152	0.14	0
4292626348
4194304	0.3	0
4294015992
8388608	0.61	0
8437861
16777216	1.25	0

VEB Interleaved
Operations	Seconds	Comparisons
131884
262144	0.04	10045113
219891
524288	0.07	20071589
401229
1048576	0.16	40188869
1630350
2097152	0.36	80363766
524915
4194304	0.77	160710982
962291
8388608	1.65	321337420
7694672
16777216	3.48	642683852

bitsmart Interleaved
Operations	Seconds	Comparisons
131884
262144	0.01	4248505
219891
524288	0.03	8494983
401229
1048576	0.06	16991443
1630350
2097152	0.16	33982689
524915
4194304	0.35	67966684
962291
8388608	0.78	135927046
7694672
16777216	1.68	271858718

std::set Interleaved
Operations	Seconds	Comparisons
131884
262144	0.04	0
219891
524288	0.09	0
401229
1048576	0.25	0
1630350
2097152	0.58	0
524915
4194304	1.3	0
962291
8388608	2.91	0
7694672
16777216	6.45	0

==================DONE==================
